ubigeo,anio,ninos_evaluados,ninos_con_anemia,ninos_sin_anemia,prevalencia_anemia,gasto_total,gasto_anemia_pan,departamento,provincia,distrito,region,macroregion_inei,macroregion_minsa,capital,latitude,longitude,altitude,superficie,pob_densidad_2020,pct_cultivo,pct_construido,pct_desnudo,pct_agua_visible,n_edificios,area_construida_m2,confianza_media,area_distrito_km2,densidad_edificios_km2,elevacion_media,pendiente_media,pct_agua_permanente,pct_agua_estacional,personal_total,programa_anemia,centro_salud_municipal,personal_total_missing,programa_anemia_missing,centro_salud_municipal_missing,gasto_total_percapita,gasto_anemia_pan_percapita,log_gasto_total_percapita,log_gasto_anemia_pan_percapita,flag_gasto_outlier_administrativo
150131,2024,214.0,14.0,200.0,0.0654205607476635,12665820153.99,0.0,LIMA,LIMA,SAN ISIDRO,LIMA PROVINCIA,LIMA METROPOLITANA,LIMA Y CALLAO,San Isidro,-12.0977777777778,-77.0272222222222,195.0,11.1,8263.33333333333,5.217457760637737e-05,0.8880443792548004,0.002781051957061,0.0010232830889701,19865.0,3077820.055989938,0.7687204682613962,9.801323192711498,2026.7671629043,107.66468892883243,3.482747317688314,0.8208725931995086,0.1399528881605899,18.0,0.0,1.0,1,1,0,59186075.48593458,0.0,17.896196877697324,0.0,True
150701,2022,34.0,11.0,23.0,0.3235294117647059,124895946.49,0.0,LIMA,HUAROCHIRI,MATUCANA,LIMA REGION,CENTRO,LIMA Y CALLAO,Matucana,-11.845,-76.3861111111111,2395.0,179.44,32.9803834150691,0.0005913687873046,0.0058242613735027,0.1285168154060195,0.0004690790390356,4177.0,259974.72958993912,0.7502296858065602,181.30937694110008,23.037970073422816,3843.749649603972,28.50438122875705,0.2307692307692307,0.6307692307692307,111.0,0.0,0.0,0,1,1,3673410.1908823526,0.0,15.116631268136338,0.0,True
151001,2021,11.0,9.0,2.0,0.8181818181818182,85030105.28,0.0,LIMA,YAUYOS,YAUYOS,LIMA REGION,CENTRO,LIMA Y CALLAO,Yauyos,-12.4597222222222,-75.9183333333333,2895.0,327.17,5.73707858299966,0.0004963321931441,0.0029696617397496,0.2028486759402879,0.0057027585493464,1813.0,120070.95182743912,0.765094649278848,333.68771421651644,5.4332237081513215,3984.8141188701225,25.555723108077128,0.5287051099145534,0.4126743062267016,15.0,0.0,0.0,0,0,0,7730009.570909091,0.0,15.860620788080016,0.0,True
180106,2022,23.0,7.0,16.0,0.3043478260869565,113918700.09,0.0,MOQUEGUA,MARISCAL NIETO,TORATA,MOQUEGUA,SUR,MACROREGION SUR,Torata,-17.0766666666667,-70.8441666666667,2203.0,1793.37,4.91253896295801,0.0006058095894452,0.0032686161537457,0.6320324815709609,0.0006127736160107,15172.0,993534.4002623258,0.7757506130467987,1774.8599534080963,8.548280088728488,3559.771990080944,17.59787164051405,0.1651414865591045,0.6286026973537623,462.0,1.0,0.0,0,0,1,4952986.960434782,0.0,15.415501580805213,0.0,True
190113,2021,198.0,72.0,126.0,0.3636363636363636,555372443.47,14791374.7,PASCO,PASCO,YANACANCHA,PASCO,CENTRO,MACROREGION CENTRO,Yanacancha,-10.6633333333333,-76.2530555555555,4394.0,165.11,177.627036521107,0.0008688243110759,0.0229015561066053,0.003812263110898,0.0015087503146082,16694.0,1155206.2019227596,0.7841003415105271,158.38393319483464,105.4021052720292,4154.708924537464,20.46524914322173,0.4262718600953895,0.4769475357710651,147.0,0.0,0.0,0,0,0,2804911.3306565657,74703.91262626262,14.846882841782605,11.221301133700974,True
190113,2022,167.0,50.0,117.0,0.2994011976047904,665037541.78,2497112.21,PASCO,PASCO,YANACANCHA,PASCO,CENTRO,MACROREGION CENTRO,Yanacancha,-10.6633333333333,-76.2530555555555,4394.0,165.11,177.627036521107,0.0008688243110759,0.0229015561066053,0.003812263110898,0.0015087503146082,16694.0,1155206.2019227596,0.7841003415105271,158.38393319483464,105.4021052720292,4154.708924537464,20.46524914322173,0.4262718600953895,0.4769475357710651,152.0,1.0,0.0,0,0,1,3982260.729221557,14952.767724550898,15.19736048952804,9.612718568775787,True
230103,2022,32.0,4.0,28.0,0.125,88322373.57000001,360.0,TACNA,TACNA,CALANA,TACNA,SUR,MACROREGION SUR,Calana,-17.9433333333333,-70.1883333333333,881.0,108.38,40.9761948699022,0.0188879541893061,0.0089854342489964,0.912869545054419,0.0038280475093742,18241.0,938362.2359789537,0.7716924345818118,110.35995268595518,165.2864064911965,1054.162358724591,11.453161069551234,0.3902877697841727,0.5809352517985612,93.0,0.0,0.0,0,1,1,2760074.1740625002,11.25,14.83076847430158,2.505525936990736,True
230301,2022,15.0,5.0,10.0,0.3333333333333333,95515829.3,0.0,TACNA,JORGE BASADRE,LOCUMBA,TACNA,SUR,MACROREGION SUR,Locumba,-17.6138888888889,-70.7627777777778,589.0,968.99,3.00931898162004,0.0099082672618128,0.0014602068972861,0.970576175989707,0.0026098932169894,4509.0,250432.2121562957,0.75849687298324,848.7807444560964,5.312325979884703,923.3830338311628,7.882825335707705,0.8500264559918258,0.1329596044373084,1587.0,0.0,0.0,0,0,1,6367721.953333333,0.0,15.666752499487913,0.0,True
230302,2021,29.0,13.0,16.0,0.4482758620689655,129077789.75,0.0,TACNA,JORGE BASADRE,ILABAYA,TACNA,SUR,MACROREGION SUR,Ilabaya,-17.4180555555556,-70.5130555555556,1387.0,1111.39,4.31531685546928,0.0020018653921597,0.0028972207598383,0.8742634995194407,0.0008219160857118,5023.0,586980.710021555,0.7839344815383886,1061.3562009626971,4.732624160902736,2232.0515786581323,20.950656476788385,0.3902770670820433,0.5584708038216574,1342.0,0.0,0.0,0,0,0,4450958.267241379,0.0,15.308630196583701,0.0,True
230302,2022,30.0,15.0,15.0,0.5,146197758.86,0.0,TACNA,JORGE BASADRE,ILABAYA,TACNA,SUR,MACROREGION SUR,Ilabaya,-17.4180555555556,-70.5130555555556,1387.0,1111.39,4.31531685546928,0.0020018653921597,0.0028972207598383,0.8742634995194407,0.0008219160857118,5023.0,586980.710021555,0.7839344815383886,1061.3562009626971,4.732624160902736,2232.0515786581323,20.950656476788385,0.3902770670820433,0.5584708038216574,1159.0,0.0,0.0,0,0,1,4873258.628666667,0.0,15.39927359942682,0.0,True
230302,2023,41.0,15.0,26.0,0.3658536585365853,226420911.22,0.0,TACNA,JORGE BASADRE,ILABAYA,TACNA,SUR,MACROREGION SUR,Ilabaya,-17.4180555555556,-70.5130555555556,1387.0,1111.39,4.31531685546928,0.0020018653921597,0.0028972207598383,0.8742634995194407,0.0008219160857118,5023.0,586980.710021555,0.7839344815383886,1061.3562009626971,4.732624160902736,2232.0515786581323,20.950656476788385,0.3902770670820433,0.5584708038216574,1001.0,1.0,0.0,0,0,0,5522461.249268292,0.0,15.5243343784483,0.0,True
230302,2024,51.0,30.0,21.0,0.5882352941176471,185897458.26,0.0,TACNA,JORGE BASADRE,ILABAYA,TACNA,SUR,MACROREGION SUR,Ilabaya,-17.4180555555556,-70.5130555555556,1387.0,1111.39,4.31531685546928,0.0020018653921597,0.0028972207598383,0.8742634995194407,0.0008219160857118,5023.0,586980.710021555,0.7839344815383886,1061.3562009626971,4.732624160902736,2232.0515786581323,20.950656476788385,0.3902770670820433,0.5584708038216574,18.0,0.0,0.0,1,1,0,3645048.2011764706,0.0,15.108880421598945,0.0,True
230303,2022,23.0,0.0,23.0,0.0,99837419.15,7032992.460000001,TACNA,JORGE BASADRE,ITE,TACNA,SUR,MACROREGION SUR,Ite,-17.8616666666667,-70.9658333333333,160.0,848.18,4.0003301186069,0.0140568764087934,0.0024023363889008,0.8836496950503832,0.0065205198727368,5881.0,423973.0106494674,0.7622385137929658,841.7716206022781,6.986455537420246,541.2540717053583,10.494003823571594,0.1396063614071861,0.2941878508418317,335.0,0.0,0.0,0,1,1,4340757.354347826,305782.28086956526,15.28355962683687,12.630631897567035,True
