ubigeo,personal_total,programa_anemia,centro_salud_municipal,Año
050910,8,1,0,2021
050911,4,1,0,2021
051001,50,0,0,2021
051002,15,0,0,2021
051003,7,0,0,2021
051004,2,1,0,2021
051005,12,0,1,2021
051006,6,0,0,2021
051007,7,0,0,2021
051008,8,0,0,2021
051009,12,0,0,2021
051010,9,0,0,2021
051011,11,1,0,2021
051012,12,0,0,2021
051101,74,1,0,2021
051102,9,0,0,2021
051103,6,0,0,2021
051104,9,1,0,2021
051105,9,0,0,2021
051106,9,1,0,2021
051107,5,0,0,2021
051108,16,0,0,2021
060101,2818,0,1,2021
060102,54,1,0,2021
060103,38,0,0,2021
060104,37,1,0,2021
060105,160,1,0,2021
060106,87,1,1,2021
060107,23,1,0,2021
060108,318,1,0,2021
060109,12,1,0,2021
060110,40,0,0,2021
060111,30,1,0,2021
060112,19,1,1,2021
060201,299,0,1,2021
060202,108,1,0,2021
060203,30,0,0,2021
060204,31,1,0,2021
060301,134,0,0,2021
060302,5,0,0,2021
060303,15,1,0,2021
060304,43,0,0,2021
060305,4,0,0,2021
060306,3,1,0,2021
060307,14,1,0,2021
060308,32,1,0,2021
060309,21,0,0,2021
060310,23,1,0,2021
060311,6,1,0,2021
060312,25,0,0,2021
060401,429,1,0,2021
060402,14,1,0,2021
060403,9,1,0,2021
060404,18,0,1,2021
060405,7,1,0,2021
060406,19,1,0,2021
060407,21,1,0,2021
060408,26,0,0,2021
060409,13,0,0,2021
060410,54,0,0,2021
060411,50,0,0,2021
060412,7,0,0,2021
060413,17,1,0,2021
060414,6,0,0,2021
060415,24,0,0,2021
060416,8,0,0,2021
060417,79,1,0,2021
060418,5,0,0,2021
060419,30,0,0,2021
060501,72,1,0,2021
060502,21,0,0,2021
060503,7,1,0,2021
060504,16,1,0,2021
060505,8,0,0,2021
060506,0,1,0,2021
060507,20,0,1,2021
060508,29,0,0,2021
060601,297,1,0,2021
060602,22,0,0,2021
060603,17,1,0,2021
060604,10,1,0,2021
060605,26,1,0,2021
060606,26,0,0,2021
060607,65,1,0,2021
060608,11,1,0,2021
060609,19,1,0,2021
060610,22,1,0,2021
060611,15,0,0,2021
060612,27,1,0,2021
060613,20,1,0,2021
060614,55,1,0,2021
060615,10,1,0,2021
060701,416,0,0,2021
060702,30,0,0,2021
