ubigeo,pct_agua_permanente,pct_agua_estacional
050102,0.08027522935779817,0.8715596330275229
050103,0.022790240414693,0.8481544373938688
050104,0.3669064748201438,0.5402877697841727
050105,0.06718241042345276,0.6673452768729641
050106,0.2682960261517181,0.5551944140993317
050107,0.0,0.8315763184184235
050108,0.0,0.9007327841245278
050109,0.0,0.7603281397544855
050110,0.0,0.5
050111,0.08050579907613573,0.7673058389551694
050112,0.16666666666666666,0.4666666666666667
050113,0.0,0.9198550724637682
050114,0.3763478845992095,0.5933383800151402
050115,0.17047353760445683,0.673259052924791
050201,0.09877797003674067,0.6620790192907448
050202,0.6327701813948575,0.3618378942702259
050203,0.6246773701154529,0.3673609569271757
050204,0.2607044198895028,0.6656338659101092
050205,0.38264946032441366,0.5815932294138403
050206,0.5005605919851364,0.4708492167729122
050301,0.388596009498353,0.5310237911865096
050302,0.17320362557828875,0.5882847935518439
050303,0.5189919328756111,0.46091187151741403
050304,0.7462961551167695,0.24452046961957766
050401,0.19315255264353884,0.7750578492266472
050402,0.14344753874473012,0.8401104447479367
050403,0.05698005698005698,0.8917378917378918
050404,0.0,0.6797882897783657
050405,0.05817783976146964,0.6871573530826199
050406,0.2335633659658695,0.7418712887177016
050407,0.21114111014510517,0.3805731197320602
050408,0.07433776357239764,0.35017403826254917
050409,0.09635315897692699,0.41211712531961564
050410,0.4345059638073464,0.5610077001056877
050411,0.3388390980604096,0.5738971581696993
050412,0.0625,0.8875
050413,0.027255237280889272,0.9727447627191107
050501,0.06060606060606061,0.8552188552188552
050502,0.44360121307732625,0.4699596784071257
050503,0.22218598037552545,0.34261796053699745
050504,0.12437507724961532,0.6087312310072496
050505,0.319764855447005,0.6156694547812696
050506,0.14872601486817075,0.5549644436145666
050507,0.24285231195247853,0.3695394952788289
050508,0.07836508912108174,0.856138598647818
050509,0.47197151205628796,0.4095816339090159
050510,0.2488758690138344,0.5107081890586381
050511,0.4662177912653842,0.49931956417572837
050512,0.40217907366396205,0.4039679111952437
050513,0.4705146349308457,0.4185397233837245
050514,0.0,1.0
050515,0.0,1.0
050601,0.7818124657961041,0.20263695127904524
050602,0.537120136133883,0.44258421210161164
050603,0.4272246520686336,0.4903060184899991
050604,0.442115359612606,0.5453738160712577
050605,0.3721454287783504,0.5416898957426965
050606,0.6594909346483794,0.3312499218581157
050607,0.04351907159313935,0.9564809284068606
050608,0.0,0.03555219364599092
050609,0.09433962264150944,0.32075471698113206
050610,0.2413793103448276,0.42528735632183906
050611,0.32179400678209275,0.6461381329233313
050612,0.2265625,0.765625
050613,0.017045454545454544,0.9659090909090909
050614,0.05937596710391255,0.682743955313288
050615,0.012979609288310207,0.9558693284197453
050616,0.0,0.8300188867903566
050617,0.0020502820642448465,0.5679522055578293
050618,0.11590605141473563,0.8328278104595159
050619,0.05509892246939059,0.7963645744448633
050620,0.0,0.9629737186002614
050621,0.009558222695343833,0.6436694579175818
050701,0.6421124564266788,0.3362348288509002
050702,0.015386286293534139,0.8682813216518233
050703,0.5806931291031303,0.32245531104081443
050704,0.05941853301802429,0.9304465332564935
050705,0.05401917120004933,0.5269781216128053
050706,0.06826371691971943,0.429992387772582
050707,0.07489229296314026,0.9189325035902346
050708,0.04732576521670708,0.8151891671495095
050801,0.30487524946918054,0.693498817213214
050802,0.12413295949824599,0.8655655363027533
050803,0.39834874504623513,0.6016512549537648
050804,0.19025887918573123,0.7814280765049518
050805,0.054116761291611304,0.905387859837281
050806,0.3991625191908626,0.569179221567999
050807,0.0,0.9724137931034483
050808,0.026260640086931773,0.9453830431295439
050809,0.04721109972995624,0.9521370704907347
050810,0.0,0.6644340254521098
050901,0.12289164157646346,0.714749566781613
050902,0.06793803752536634,0.7336121479890064
050903,0.06711349241126556,0.7235788551169181
050904,0.008535850572404097,0.9658565977103836
050905,0.25556174199327025,0.7120336972572563
050906,0.04629891521362971,0.7310495141754293
050907,0.004699641710483459,0.96704046655189
050908,0.05781079134771824,0.9387885738671219
050909,0.011740331491712707,0.9029268613522755
050910,0.0,0.9847879257889399
050911,0.5220214072644324,0.42950517634672747
051001,0.04286602566046892,0.8203767175225213
051002,0.15288493629385316,0.6718789877692048
051003,0.19780684743133176,0.7909100525369346
051004,0.0012062726176115797,0.6888223255309631
051005,0.13150220606336047,0.6905451722244316
051006,0.09028378458439476,0.8045381835416784
051007,0.1448449175875876,0.6995804827488368
051008,0.0,0.869898753894081
051009,0.11486486486486487,0.8716216216216216
051010,0.3469870817620155,0.5829025343588451
051011,0.0294729157077785,0.8952894122875237
051012,0.026111616008616913,0.9354740987579522
051101,0.16732441988097016,0.7076831642755893
051102,0.19532257695836877,0.6080062174067794
051103,0.04958132004351235,0.8959295706949326
051104,0.07473078392034804,0.7648227980912329
051105,0.10113588974720494,0.7884365629406043
051106,0.18981263962077286,0.6645433538328793
051107,0.30498859437516856,0.5218791222406038
051108,0.19665572165340042,0.5903301229836839
060101,0.35221947862485636,0.5307881455973855
060102,0.125,0.875
060103,0.0,1.0
060104,0.0,0.9903339524657898
060105,0.1689118129962108,0.7638436737730702
060106,0.47532993903664505,0.14884102632813023
060107,0.04819277108433735,0.4036144578313253
060108,0.08167233114175039,0.6647620178393862
060109,0.0,0.18518518518518517
060110,0.0,0.7194719471947195
060111,0.47658254468980016,0.43761303890641434
060112,0.0,1.0
060201,0.3238095238095238,0.5749534756431308
060202,0.0367561260210035,0.7135767725993547
060203,0.014239048496524,0.745763185079711
060204,0.2514917614807845,0.6829148734746976
060301,0.3937775621576388,0.5443266234399626
060302,0.3118564135106289,0.6204462199659637
060303,0.09626505973643101,0.8421308296935915
060304,0.0029940822844260755,0.9760473417245914
060305,0.36539791299974866,0.5424314810158413
060307,0.0,0.9477271562548045
060308,0.16772592458083668,0.6978713960010492
060309,0.04180602006688963,0.9548494983277592
060311,0.27068000350575183,0.5356609128888069
060312,0.0,0.7333410794167199
060401,0.0,1.0
060402,0.0,0.3368436776458287
060403,0.0,0.821678866220215
060405,0.0018376272556874563,0.9377411885773089
060406,0.014642735782027126,0.9363230757688762
060407,0.0,0.6638101516150297
060408,0.0,0.6666666666666666
060409,0.0,0.0
060411,0.016200762388818297,0.43518283213327685
060412,0.1833810888252149,0.8080229226361032
060413,0.0,0.745740498034076
060414,0.0008145701436586139,0.909109325122239
060416,0.08695652173913043,0.8260869565217391
060417,0.0,0.796778055948623
060418,0.0,1.0
060419,0.0,0.8658949243098842
060501,0.0,0.9166666666666666
060502,0.0,0.9366812227074235
060503,0.0,1.0
060505,0.0881336405529954,0.5044930875576037
060507,0.0,0.5572818501349905
060508,0.6721176478074332,0.28567447663362117
060601,0.0,0.08653345143809921
060602,0.043770814925576024,0.5670809174513383
060603,0.04492840940086247,0.43985017245963
060604,0.0034054487179487176,0.7360790598290597
060605,0.0,0.7074216106474172
060606,0.01065385418842699,0.650887821182369
060607,0.0010703829242441733,0.6191430640235905
060610,0.008179829428363082,0.5041057670967946
060611,0.04578969417679097,0.5521156263091748
060613,0.0,0.69566527858488
060614,0.2,0.8
060615,0.006513304628766441,0.726898025751428
060701,0.02631578947368421,0.9210526315789473
060702,0.09259259259259259,0.8888888888888888
060703,0.6284372904091214,0.36485580147551977
060801,0.11780729423524383,0.46313660721082694
060802,0.08258847628423607,0.41297853284208536
060803,0.11617312072892938,0.7403189066059226
060804,0.06218717904018181,0.48104958717609975
060807,0.09064558428885093,0.24682392046840695
060808,0.01970727575893921,0.5841907736283514
060809,0.08694204311642047,0.7248919402389215
060810,0.20972125828652302,0.5528496978275262
060811,0.010673475367293123,0.6998869867314053
060812,0.24617943276405702,0.3836876376712963
060901,0.38231586257916966,0.5443588059596336
060902,0.3814821247276834,0.3210916673757484
060903,0.3792851864996481,0.34565532328351084
060904,0.02868705035971222,0.4246852517985609
060905,0.041333549117980255,0.7666612720504936
060906,0.411973289297214,0.5104835454950806
060907,0.27031240256905903,0.7035337923908106
061001,0.0,0.7333333333333333
061003,0.0,0.8261069628328209
061004,0.0,0.2857142857142857
061005,0.02714354143381766,0.8507105221140029
