ubigeo,n_edificios,area_construida_m2,confianza_media,area_distrito_km2,densidad_edificios_km2
021102,847,52407.64205741882,0.7839623381424401,98.91698064174763,8.56273608944475
021103,3897,320343.23966447293,0.7642937639232534,632.8848349435996,6.157518374329963
021104,994,65840.72563743591,0.7790206242015424,113.55867091940081,8.753184516447005
021105,871,64357.830760002136,0.7802219289589147,168.38844762392182,5.172563868189393
021201,24109,1845656.741492848,0.7769060225942449,244.81286007712703,98.47930371143323
021202,1325,109339.18570423126,0.780654565478271,195.94628532609335,6.76205725357303
021203,1881,122330.6844162941,0.7692785751686522,69.72971269236122,26.975587986411718
021204,2424,178810.62095069885,0.7660016087513946,54.228816772527075,44.69948164585486
021205,2573,175367.2170635948,0.7780046636290092,106.26997850659166,24.21191794858981
021206,7847,443113.4925851822,0.7837809099579246,502.1762804027205,15.625986941691261
021207,9538,1862360.8645822364,0.7765888864825571,127.74100291447674,74.66670671425479
021208,5938,317345.26720318146,0.7758822333796653,360.8630310460524,16.45499674152603
021209,2447,154973.68957042694,0.7678653046604463,84.7421179516241,28.875841897141335
021210,1934,116615.82743664322,0.7799228542901367,549.5122232206373,3.519484950971637
021301,2343,210487.44313573837,0.8064509175091384,45.9822614548792,50.954431684468254
021302,3996,212392.61106348038,0.7911529026709281,76.29695201677482,52.37430715608967
021303,1082,61302.61552071571,0.7886248625911317,98.86875066368476,10.943801683916966
021304,1514,88456.89914035797,0.8000941875746259,214.43862947096045,7.060295077128479
021305,1353,86243.95324778557,0.8077699932801838,49.29434500153453,27.44736744058332
021306,6893,316124.9040632248,0.7805156971501038,139.68344827306905,49.34729264790759
021307,2799,178203.91822099686,0.7905653809683372,75.58723402717166,37.03006249697974
021308,725,53983.79276943207,0.8147587602714013,39.03303309478252,18.574011356983416
021401,1493,104584.70992088318,0.7786841254384423,227.15040561454165,6.572737547884975
021402,735,42564.95080089569,0.7779623137039392,255.87973127784383,2.8724432229526977
021403,341,21389.030210018158,0.780404399566986,78.93880472270945,4.319801917419959
021404,616,27490.915663719177,0.7650728906903949,106.99919588586076,5.7570526105364905
021405,2278,209076.03117589685,0.7627027219486823,412.7582766349595,5.518968677191777
021406,1011,60556.804329395294,0.7892441148809816,109.4349614365484,9.23836392619546
021407,394,27783.200815677643,0.7833365472742748,31.60105595502701,12.467937798050812
021408,542,31933.475610256195,0.7783983392689061,70.89514278122914,7.645093566882624
021409,726,43049.291617393494,0.7711327823889814,536.4662595914974,1.3533003931185286
021410,725,42727.570662498474,0.7913038609767782,89.06160260043808,8.140432900726108
021501,3293,223408.72620987892,0.7854158518490297,145.28128822069104,22.66637390355277
021502,1510,108490.33661079407,0.7854020530814366,82.16592606573265,18.377447590525563
021503,4025,343905.4502720833,0.797281018917605,581.9528970495466,6.916367321833811
021504,658,51412.80809926987,0.7918448334044599,13.618670966138652,48.31602155864149
021505,973,76271.54125022888,0.7792272358244516,116.00006477718355,8.387926350463406
021506,631,57665.314269542694,0.7902304275100092,63.78460169804774,9.892669754169102
021507,552,39592.25894021988,0.7840306154195813,29.349151513183156,18.808039467582248
021508,2260,198119.98739679565,0.7996671241205351,110.76146216297006,20.40420879127367
021509,2872,259098.8765569557,0.7887154949782287,441.7669769155384,6.501164980806383
021510,1996,124459.4204711914,0.7790573153921024,291.2534520540153,6.8531376569910165
021511,3518,263783.95827770233,0.7776446843974085,199.6186173473198,17.623606689344875
021601,14387,861488.313083075,0.7867521443202612,345.5056872759997,41.64041441236033
021602,3661,208254.96954631805,0.7910892380550565,89.13469843079778,41.07266939195761
021603,7131,372187.8405201435,0.7862365169004243,340.2234195032925,20.959756416565526
021604,1993,117000.04700422287,0.8008829400997574,150.26968660407678,13.262821298423672
021701,6308,448625.5904801964,0.7766658215391992,149.94233612283136,42.06950593882001
021702,5771,346916.8870795662,0.7745541150308403,1028.7302351410583,5.609828313453514
021703,488,35719.7887468338,0.7818954915541118,175.7488437069872,2.7766896766251596
021704,862,50106.56120443344,0.7754563802632821,111.44120203839744,7.735020658723648
021705,923,63416.34938573837,0.7876312033326758,96.30311212945593,9.58432162357591
021706,1387,84542.7171702385,0.7756845714724485,183.28814649991108,7.5673196902598
021707,927,45896.9012928009,0.7772007551779639,105.15160943035156,8.81584223980908
021708,602,40366.571435928345,0.8069913617994302,260.0316029765109,2.3151032147980093
021709,551,32327.340494155884,0.7804803985649358,78.54431938894975,7.015147680782109
021710,3589,256912.252394487,0.7788307047813641,146.7194072077923,24.46165826526995
021801,128483,9279694.78735696,0.7622473611491192,1451.1056285153613,88.54145244509324
021802,4820,340788.68251395226,0.766805145305222,530.3667954645399,9.088050083863637
021803,9650,734000.9718783589,0.7535990050913757,8.502584556836295,1134.9490187946622
021804,3480,262909.3023147583,0.7838140517987054,589.3527508944679,5.904782822712478
021805,8979,598910.3071914585,0.7703164607196837,358.404435253117,25.05270336194008
021806,13119,1168919.7094674713,0.7648282339364093,458.7731516417753,28.595832064391885
021807,5406,403718.9452670551,0.7657889750680348,149.95353707150292,36.05116695194883
021808,12082,959039.9917562994,0.7609714367663578,41.01960834193161,294.54206142795806
021809,119111,7758237.307248565,0.770185749410453,402.4770640112913,295.9448143774434
021901,4051,292362.7765315407,0.7773901506636767,46.209510503891664,87.66593620719773
021902,1124,72083.29304504395,0.7942741988392487,150.96118533563987,7.445622512177234
021903,649,39783.78655862808,0.7840984583084682,89.48418127427301,7.252678526618979
021904,3693,209468.30713701248,0.7711588954525268,69.87810215348297,52.84917429337952
021905,851,63959.98018217087,0.7838249114089231,174.18227308587734,4.885686613932465
021906,4135,238707.15390396118,0.7808185487589208,277.7594993349017,14.886979598902306
021907,2042,159443.4646706581,0.7895090596332606,148.89787123842913,13.71409801238971
021908,2378,137323.3799123764,0.7953192599687985,209.64996726490267,11.342715818291945
021909,7644,393731.681630373,0.7770950157314243,212.19620767649693,36.023263957919724
021910,2002,119642.6710999012,0.7861401599782568,82.79797057881424,24.179336594902697
022001,21771,1423052.6703478077,0.7741701067668504,274.356949773886,79.35282856126949
022002,2129,96638.66094708443,0.7707195865990355,137.4999840669736,15.483638157827022
022003,9409,616251.4994350281,0.7740897013082149,63.18664731173748,148.90804308036445
022004,1969,393064.1918121719,0.7713643977822477,47.21529268822947,41.702590154457766
022005,9026,485003.59677505493,0.7802306449244246,372.27992105582155,24.245196932462537
022006,4072,251561.68080800705,0.771289562605219,21.764008788837085,187.09788437912036
022007,2849,142260.47324371338,0.77237356964351,167.2030746666703,17.039160348454466
022008,7143,431923.64352846146,0.7841282237582425,285.00470283150287,25.06274433030321
030101,45016,2868722.343370779,0.7801158564717706,287.623635752679,156.51008611374425
030102,1155,67956.58444404602,0.7847013853329085,177.50448621336423,6.506877795819003
